admission_no,ExaminationFee,TutionFee,RefreshmentAccFee,LabFee,ProjectFee,AnnualCharges,AdminCharges,SmartClassCharges,ComputerFeeYearly,ComputerFeeMonthly,DevelopmentChargesYearly,TransportFee,PortalCharges,LateFee,TotalFee
7288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9240
7173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6430
8644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
7282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450
8144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
9351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
9334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
9289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
9275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
9321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
9340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
7206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
8227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
7020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
6507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320
6514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7080
6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
8877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
8565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11080
6891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940
6519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
8876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10080
9384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
6523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
8970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4670
6559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24110
6603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4020
7373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9640
8929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4320
8928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
7090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16080
7217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7990
7069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
6826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7080
7084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11080
6570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
7823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
7995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8080
7814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17080
7951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
8214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
8990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8040
7192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
9017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
6835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
7144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
7122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7790
8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
6083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
6086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
7166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11580
6114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
7204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
7393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
7298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020
7349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9640
6077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24110
7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13080
8278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
8372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
9288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
7278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8080
8900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
9282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
9110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870
8622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24110
8691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24010
6752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
9343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
8680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24110
8563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
8304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
8207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
8766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900
6567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9640
6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
9363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
8246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
5761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8085
9361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
6318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10065
7228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5055
5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12085
8350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
6569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
9364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20085
6157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
6790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8920
6890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8310
7057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
7029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
8218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
8239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
5780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3225
8237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
8761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
7893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
7186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
9332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
8211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25015
8220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25315
7308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
7021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
8371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
7894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
8277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
5740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
6130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900
6267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11910
9293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
6564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
6197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610
8961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
8872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
8908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8210
9352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
5776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
8907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
9366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8085
9292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3230
9309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10040
9369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
9338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
9263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005
9280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10040
9267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
5904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
5807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15525
6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7085
5496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
6631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680
8259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
5484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
5565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
6839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
9092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3085
5486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
5494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
7395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
8989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5305
7932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7085
8695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9710
7936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12085
6471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
7903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
6729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
7906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
5522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
6828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
6439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
5521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
6436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
8861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10010
7663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
8987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
6817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
